tfl_id,field,approved_value,ai_candidate,status,question,source_trace,statistician_comment
14.2.10.1.2,analysis_population,COA分析集,COAFL == 'Y',needs_confirmation,请确认 COA分析集 是否对应 ADSL/ADaM 中 COAFL == 'Y'，以及是否还需要 COAxxFL 限定。,shell title; ADaM columns include COAFL and COA01FL-COA10FL,是
14.2.10.1.2,dataset,,adqssum,needs_confirmation,请确认 PedsQL MMRM 是否使用 ADQSSUM 而非 ADQS；ADQSSUM 已含总分和分量表 PARAMCD。,ADQSSUM/QSSUMPARAM; shell lines 1063-1114,是
14.2.10.1.2,paramcd,,TS1/TS2/TS3/TS4/TS5/TS6 and PF/EF/SOF/SCF variants,needs_confirmation,请确认 shell 中“<受试者报告/家长报告>”和“<重复其他分量表>”是否对应这些年龄版本与报告者 PARAMCD。,ADQSSUM PARAM/PARAMCD scan,需要将总分分为受试者总分/家长总分
14.2.10.1.2,response,CHG,CHG,confirmed,,"MMRM footnote says 以相对基线变化值为因变量; SAS model CHG = ...",
14.2.10.1.2,model_terms,"AVISITN + REGION + BASE + BASE*AVISITN","CHG ~ AVISITN + REGION + BASE + BASE:AVISITN + us(AVISITN | USUBJID)",confirmed,,"shell SAS code: class avisitn region usubjid; model CHG = avisitn region base base*avisitn/ddfm=kenwardroger",
14.2.10.1.2,covariance,"UN; fallback AR(1)","UN then AR(1)",confirmed,,"shell footnote: 无结构型方差结构（UN），不收敛则其他协方差结构例如AR(1)",
14.2.10.1.2,model_package,mmrm,mmrm,confirmed,,skill mandatory rule,
14.2.11.2,analysis_population,COA分析集,COAFL == 'Y',needs_confirmation,请确认疼痛强度是否还需要疼痛相关 COAxxFL 或基线 NRS 条件；本 MMRM 表标题未写 NRS≥1/2。,shell title; ADSL/ADaM COA flags,是
14.2.11.2,dataset,,adqssum,needs_confirmation,请确认疼痛强度 MMRM 使用 ADQSSUM；候选 PARAMCD 包括 OVERPW、OVERTPW。,ADQSSUM scan; shell lines 1138-1152,是
14.2.11.2,paramcd,,OVERPW; OVERTPW; possibly PTOTW in ADQS only,needs_confirmation,请确认表 14.2.11.2 是否只包含总体疼痛/总体肿瘤疼痛，还是还应处理特定部位肿瘤疼痛 PTOTW。,ADQSSUM has OVERPW/OVERTPW; ADQS has PTOTW,是
14.2.11.2,response,CHG,CHG,confirmed,,shell footnote and SAS model,
